name,mbid,url,image,small_image
Dennis Lloyd,,https://www.last.fm/music/Dennis+Lloyd,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Brown,24c0aaf3-4ac2-4f9a-9ce6-a1545a96f017,https://www.last.fm/music/Dennis+Brown,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Dj,,https://www.last.fm/music/Dennis+Dj,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis,db262e4c-cdef-45a5-9d3f-652151bf5fab,https://www.last.fm/music/Dennis,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Wilson,86b9a4b4-b6a6-4cb3-973c-af4ed2863350,https://www.last.fm/music/Dennis+Wilson,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Ferrer,a163dbd2-4ec1-416b-af45-64f9ce31351f,https://www.last.fm/music/Dennis+Ferrer,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Sheperd,020fa778-0860-46df-8325-1ad9a6870ab5,https://www.last.fm/music/Dennis+Sheperd,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Cathy Dennis,aee63f14-ab80-4b37-86e4-d06fe05a898c,https://www.last.fm/music/Cathy+Dennis,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis McCarthy,ded640b3-6c60-42c9-9588-7e59bbbf51a5,https://www.last.fm/music/Dennis+McCarthy,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Dennis Edwards,1c4ac6de-3520-4651-ae5b-e06896a11abd,https://www.last.fm/music/Dennis+Edwards,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
