name,mbid,url,image,small_image
Faith No More,b15ebd71-a252-417d-9e1c-3e6863da68f8,https://www.last.fm/music/Faith+No+More,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Faithless,23d9d74d-c95e-46a6-be26-a6075c49747a,https://www.last.fm/music/Faithless,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Paloma Faith,f23f6dd0-bfb0-43d5-bf06-eae4315db502,https://www.last.fm/music/Paloma+Faith,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Faith Hill,406552d4-5ba1-4226-b7c0-367bc50fc767,https://www.last.fm/music/Faith+Hill,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Faith Evans,ebcd0bad-75ef-4203-b7b3-7af38a9ef198,https://www.last.fm/music/Faith+Evans,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Marianne Faithfull,14ed9dea-1bb0-4743-ba32-39674a71da89,https://www.last.fm/music/Marianne+Faithfull,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Blind Faith,53fa91ca-a2b9-463d-b78e-daca9894082a,https://www.last.fm/music/Blind+Faith,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Faith and the Muse,f1019a9e-2937-42ea-b2be-291eb1003573,https://www.last.fm/music/Faith+and+the+Muse,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
In Fear and Faith,216220dc-0aa2-44e2-af63-ee4df4491cf7,https://www.last.fm/music/In+Fear+and+Faith,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Percy Faith,291dcfb8-b31c-496a-905b-9955509d75b6,https://www.last.fm/music/Percy+Faith,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
