name,mbid,url,image,small_image
Kelvin Jones,9a6ab473-9535-42f0-8655-ff23ebb4dd37,https://www.last.fm/music/Kelvin+Jones,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Kehlvin,e81fa324-67fe-4b56-807f-c3699e19fef1,https://www.last.fm/music/Kehlvin,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
MC KELVINHO,,https://www.last.fm/music/MC+KELVINHO,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Kelvin Mockingbird,,https://www.last.fm/music/Kelvin+Mockingbird,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
YFL Kelvin,,https://www.last.fm/music/YFL+Kelvin,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
DJ Kelvinho Patatah,,https://www.last.fm/music/DJ+Kelvinho+Patatah,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Kelvin Momo,,https://www.last.fm/music/Kelvin+Momo,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Kelvin Moon Loh,aa4652a2-8ba9-4f99-8fcf-792f7954fe22,https://www.last.fm/music/Kelvin+Moon+Loh,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Kelvin Wood,,https://www.last.fm/music/Kelvin+Wood,"[{""#text"":"""",""size"":""small""},{""#text"":"""",""size"":""medium""},{""#text"":"""",""size"":""large""},{""#text"":"""",""size"":""extralarge""},{""#text"":"""",""size"":""mega""}]",
DJ Kelvin EL Sacamostro,,https://www.last.fm/music/DJ+Kelvin+EL+Sacamostro,"[{""#text"":"""",""size"":""small""},{""#text"":"""",""size"":""medium""},{""#text"":"""",""size"":""large""},{""#text"":"""",""size"":""extralarge""},{""#text"":"""",""size"":""mega""}]",
Kelvin Kwan,,https://www.last.fm/music/Kelvin+Kwan,"[{""#text"":""https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""small""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""medium""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""large""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""extralarge""},{""#text"":""https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png"",""size"":""mega""}]",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
